City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
428,Dingle,PH,10.9995,122.6711,74.28,90,99,12.5,overcast clouds
429,Pueblo Bello,CO,8.2041,-76.526,79.3,84,100,2.73,overcast clouds
430,Kemi,FI,65.8596,24.8228,24.57,100,90,12.66,light shower snow
431,Vao,NC,-22.6667,167.4833,77.81,84,74,8.86,broken clouds
432,Tura,IN,25.5198,90.2201,58.44,66,93,3.89,overcast clouds
433,Tsarychanka,UA,48.937,34.4786,23.61,95,100,19.53,snow
434,Russell,US,32.3502,-85.1999,70.05,87,90,9.22,overcast clouds
435,Richards Bay,ZA,-28.783,32.0377,74.08,79,3,12.03,clear sky
436,Sinnamary,GF,5.3833,-52.95,81.68,77,60,9.33,broken clouds
437,Nova Vodolaha,UA,49.7185,35.8708,19.92,94,100,23.73,light snow
438,Garut,ID,-7.2024,107.8878,71.51,94,100,0.36,overcast clouds
439,Kavaratti,IN,10.5669,72.642,80.47,75,7,9.91,clear sky
440,Santa Cruz,BO,-17.8,-63.1667,94.46,46,20,5.75,few clouds
441,Mezen,RU,65.8522,44.24,-16.2,99,34,3.89,scattered clouds
442,Malanville,BJ,11.8685,3.3899,91.49,11,9,11.23,clear sky
443,Tigil,RU,57.8,158.6667,8.19,95,100,8.97,light snow
444,Arlit,NE,18.7369,7.3853,79.32,10,0,5.14,clear sky
445,Klaksvik,FO,62.2266,-6.589,41.92,76,65,7.52,broken clouds
446,De-Kastri,RU,51.4667,140.7833,-18.8,97,10,6.11,clear sky
447,Lahad Datu,MY,5.0268,118.327,73.96,95,100,4.94,overcast clouds
448,Gushikawa,JP,26.3544,127.8686,58.23,72,65,6.13,broken clouds
449,Lima,PE,-12.0432,-77.0282,71.13,78,90,9.22,overcast clouds
450,Lang Suan,TH,9.9456,99.0785,76.23,89,63,6.29,broken clouds
451,Sampit,ID,-2.5333,112.95,75.49,95,100,1.05,overcast clouds
452,Rock Springs,US,41.5875,-109.2029,10.24,68,98,4.0,overcast clouds
453,Nea Mesimvria,GR,40.7514,22.7625,55.4,87,100,1.99,overcast clouds
454,Bonthe,SL,7.5264,-12.505,86.25,59,97,11.97,overcast clouds
455,Mabaruma,GY,8.2,-59.7833,78.55,93,70,5.7,broken clouds
456,Mehamn,NO,71.0357,27.8492,12.11,79,68,6.26,broken clouds
457,Karratha,AU,-20.7377,116.8463,88.09,55,68,14.65,light rain
458,Bathsheba,BB,13.2167,-59.5167,84.81,61,75,19.57,broken clouds
459,Bongandanga,CD,1.5,21.05,76.44,89,82,2.33,light rain
460,Port Hardy,CA,50.6996,-127.4199,28.4,86,75,5.75,broken clouds
461,Maues,BR,-3.3836,-57.7186,85.68,74,90,3.2,overcast clouds
462,Mani,CO,4.8172,-72.2886,93.36,37,100,13.96,overcast clouds
463,Namatanai,PG,-3.6667,152.4333,79.79,82,68,3.29,broken clouds
464,Bilibino,RU,68.0546,166.4372,-20.74,91,100,7.34,overcast clouds
465,Huaihua,CN,27.5494,109.9592,36.55,89,100,0.2,overcast clouds
